Year,Month,Day,Hour,Minute,Speed,Direction
2019,4,11,20,0,5.3,324.21
2019,4,11,21,0,4.25,330.42
2019,4,11,22,0,2.62,17.74
2019,4,11,23,0,2.06,22.83
2019,4,12,0,0,1.93,21.25
2019,4,12,1,0,1.5,360
2019,4,12,2,0,1.58,341.57
2019,4,12,3,0,1.68,342.65
2019,4,12,4,0,1.97,329.53
2019,4,12,5,0,2.37,332.35
2019,4,12,6,0,2.64,335.38
2019,4,12,7,0,2.69,338.2
2019,4,12,8,0,2.43,350.54
2019,4,12,9,0,2.55,11.31
2019,4,12,10,0,0.7,90
2019,4,12,11,0,2.72,96.34
2019,4,12,12,0,3.14,99.16
2019,4,12,13,0,3.22,97.13
2019,4,12,14,0,2.82,96.12
2019,4,12,15,0,2.45,101.77
2019,4,12,16,0,2.32,97.43
2019,4,12,17,0,2.2,90
2019,4,12,18,0,1.81,83.66
2019,4,12,19,0,1.53,78.69
2019,4,12,20,0,0.95,71.57
2019,4,12,21,0,0.78,50.19
2019,4,12,22,0,0.6,90
2019,4,12,23,0,0.89,333.43
2019,4,13,0,0,1.56,320.19
2019,4,13,1,0,2.77,319.4
2019,4,13,2,0,3.5,323.13
2019,4,13,3,0,3.38,325.84
2019,4,13,4,0,3.14,322.77
2019,4,13,5,0,2.98,320.44
2019,4,13,6,0,3.19,327.8
2019,4,13,7,0,3.09,335.1
2019,4,13,8,0,3.49,336.37
2019,4,13,9,0,3.07,340.97
2019,4,13,10,0,2.65,10.89
2019,4,13,11,0,1.92,38.66
2019,4,13,12,0,1.41,81.87
2019,4,13,13,0,1.84,119.36
2019,4,13,14,0,2.86,143.53
2019,4,13,15,0,3.53,154.89
2019,4,13,16,0,3.92,160.64
2019,4,13,17,0,4.1,167.32
2019,4,13,18,0,4.1,178.6
2019,4,13,19,0,4.03,187.13
2019,4,13,20,0,4.1,180
2019,4,13,21,0,4.13,173.05
2019,4,13,22,0,3.83,172.5
2019,4,13,23,0,3.4,180
2019,4,14,0,0,3.11,185.53
2019,4,14,1,0,3.11,183.69
2019,4,14,2,0,3.34,188.62
2019,4,14,3,0,3.45,196.86
2019,4,14,4,0,2.85,198.43
2019,4,14,5,0,2.6,202.62
2019,4,14,6,0,2.77,205.64
2019,4,14,7,0,3.23,201.8
2019,4,14,8,0,4.27,196.31
2019,4,14,9,0,5.94,192.63
2019,4,14,10,0,5.02,184.57
2019,4,14,11,0,5.41,184.24
2019,4,14,12,0,6,181.91
2019,4,14,13,0,6.5,180.88
2019,4,14,14,0,7.2,179.2
2019,4,14,15,0,7.9,180
2019,4,14,16,0,8.3,180.69
2019,4,14,17,0,7.7,180
2019,4,14,18,0,6.71,177.44
2019,4,14,19,0,5.73,173.99
2019,4,14,20,0,5.61,175.91
2019,4,14,21,0,6.61,183.47
2019,4,14,22,0,5,180
2019,4,14,23,0,5.61,183.07
2019,4,15,0,0,5.7,180
2019,4,15,1,0,5.5,178.96
2019,4,15,2,0,4.52,174.92
2019,4,15,3,0,3.21,183.58
2019,4,15,4,0,0.14,225
2019,4,15,5,0,3.92,307.75
2019,4,15,6,0,3.33,327.26
2019,4,15,7,0,4.3,300.74
2019,4,15,8,0,4.08,300.96
2019,4,15,9,0,5.45,312.77
2019,4,15,10,0,4.13,327.85
2019,4,15,11,0,4.96,325.67
2019,4,15,12,0,5.1,325.38
2019,4,15,13,0,6.31,319.5
2019,4,15,14,0,8.2,315
2019,4,15,15,0,8.23,319.93
